STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,2049-10-01 00:00:00,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2023,,6.97
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,2049-10-01 00:00:00,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,23.94
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,2049-10-01 00:00:00,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,27.88
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,2049-10-01 00:00:00,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,29.38
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,2049-10-01 00:00:00,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,35.45
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2014,,15.56
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2016,,20.36
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2018,,27.16
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2020,,41.18
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2021,,51.77
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2023,,59.43
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2021,,10.33
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2023,,9.9
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2021,,5.83
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2023,,6.01
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,33.4
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,41.51
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,39.44
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,50-249,From 50 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,47.94
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2014,,11.29
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2016,,16.26
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2018,,22.43
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2020,,33.32
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2021,,41.6
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2023,,47.0
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2021,,6.89
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2023,,7.22
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2021,,5.11
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2023,,6.78
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,26.28
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_S,"Enterprises buying sophisticated CC services, at least one of: CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,31.15
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2021,,31.83
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_SI,"Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV",PC_ENT,Percentage of enterprises,DE,Germany,2023,,38.5
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2014,,26.84
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2016,,38.23
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2018,,48.69
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2020,,62.05
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2021,,70.83
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,GE250,250 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2023,,77.6
