STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_spd,Internet speed,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2023,,70.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2024,,87.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2015,,43.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2016,,44.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2017,,52.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2018,,55.4
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2019,,60.0
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2020,,68.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2021,,69.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2022,,70.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2023,,78.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2024,,87.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2015,,95.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2016,,95.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2017,,96.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2018,,96.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2019,,96.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2020,,96.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2015,,69.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2016,,77.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2017,,87.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2018,,88.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2019,,89.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2020,,90.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2021,,90.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2022,,97.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2023,,100.0
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,IE,Ireland,2024,,100.0
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2019,,40.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2020,,62.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2021,,63.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2022,,65.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2023,,68.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,CH,Switzerland,2024,,72.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2015,,98.4
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2016,,98.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2017,,98.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2018,,98.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2019,,98.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2020,,98.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2021,,98.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2022,,98.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2023,,98.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2015,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2016,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2017,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2018,,99.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2019,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT2,More than 2 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2020,,99.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2015,,98.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2016,,98.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2017,,98.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2018,,98.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2019,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2020,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2021,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2022,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2023,,99.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,CH,Switzerland,2024,,99.8
